model,RMSE,MAE,R2,RMSE_fold_mean,RMSE_fold_sd
Random Forest,919.8664713290327,697.1528250610492,0.7159542626011348,918.7454759662309,44.6929222756614
Gradient Boosting,922.169941124035,696.7320290331944,0.7145299037118351,921.1393038407274,42.839188246730195
Linear Regression,953.3189711301628,725.4799233222876,0.6949189946538938,952.0522052782684,48.31012483044171
Elastic Net,953.4984296715522,726.0087535249455,0.6948041232476554,952.2706311232292,47.55322854947372
SVR,966.808692842422,731.8936789855646,0.6862239504783879,966.1490913489348,35.029728659952056
