cow_id,animal_name,sire,parity,lactation_length_d,peak_day,peak_milk_kg,dry_period_d,milk_yield_kg
806629,Henti,L. Muscadet XA,1,289.0,116.0,34.6,45.0,7710.1
805362,Ikeu,Jenny S.TrumpET,1,289.0,118.0,31.3,48.0,6581.0
805790,TATU 1,Horst MONTNEY,1,289.0,131.0,49.4,49.0,6868.2
805494,Weida,Ziggy VS Whisky,1,289.0,74.0,35.4,45.0,7371.8
804962,RESTI,AK 47,1,289.0,58.0,32.5,48.0,7554.4
805936,Britny,Horst MONTNEY,1,289.0,137.0,29.4,44.0,6103.1
804840,Lucy,Coyne PlanetET,1,289.0,98.0,35.5,49.0,7965.5
805791,TATU 2,Horst MONTNEY,1,289.0,90.0,42.3,46.0,7087.4
804583,Falco,L.Jet Bowser XA,1,289.0,82.0,31.8,54.0,7027.1
805709,SOZIS 1,AK 47,1,290.0,64.0,37.2,49.0,7341.2
805765,POTJAN,AK 47,1,290.0,64.0,27.4,47.0,5566.7
806032,JASME,L.Jet Bowser-ET,1,290.0,52.0,30.2,50.0,5606.6
805862,ROSA,L.Jet Bowser-ET,1,290.0,55.0,27.8,46.0,5637.5
805829,Ash-069,L.Jet Bowser-ET,1,290.0,26.0,39.0,42.0,6655.8
805206,NIXIN,MR MUDD -  XA,1,290.0,134.0,37.1,47.0,8628.5
804479,HIBA,L.Jet Bowser XA,1,290.0,60.0,26.6,46.0,5605.0
806128,IVAN,Horst MONTNEY,1,290.0,50.0,39.3,45.0,7717.8
805223,Falon,MR MUDD -  XA,1,290.0,93.0,33.9,43.0,7688.1
805395,FUDUL,MR MUDD -  XA,1,290.0,107.0,31.0,49.0,7349.8
806009,POND-137,AK 47,1,290.0,74.0,40.9,48.0,7778.3
804894,Rahma,L.Jet Bowser XA,1,290.0,59.0,30.0,44.0,6850.4
806173,Virgin,L.Jet Bowser-ET,1,290.0,45.0,27.7,49.0,5637.3
805777,Akiko,Bull Mix,1,290.0,141.0,47.2,51.0,5348.6
805899,Duyan,AK 47,1,290.0,100.0,24.4,51.0,5219.1
805731,Karen,AK 47,1,290.0,61.0,32.2,47.0,6475.1
804774,Luna,Coyne PlanetET,1,290.0,109.0,32.7,72.0,6661.9
804983,Lani,Jenny S.TrumpET,1,290.0,66.0,31.7,45.0,7439.9
805035,JAN-JAN,L.Jet Bowser-ET,1,290.0,108.0,30.0,49.0,6411.6
804399,Capri,L.Jet Bowser-ET,1,290.0,100.0,32.9,55.0,7311.0
804671,Teten,Coyne PlanetET,1,290.0,75.0,38.5,48.0,8772.0
806601,IRFI 1,WestCoast Pldge,1,290.0,150.0,36.2,47.0,9463.5
806158,Meggi,Ziggy VS Whisky,1,290.0,91.0,33.9,44.0,7728.5
806636,Tomas,AK 47,1,290.0,122.0,38.2,50.0,9297.6
804797,Fudul,Coyne PlanetET,1,290.0,42.0,33.2,53.0,7399.6
804719,SAKHA,L.Jet Bowser XA,1,290.0,93.0,32.6,53.0,7557.5
805853,Tipa,Horst MONTNEY,1,290.0,27.0,27.1,47.0,6087.4
805429,MUSE,AK 47,1,291.0,47.0,33.5,45.0,6997.9
805162,Inne,Jenny S.TrumpXA,1,291.0,115.0,27.5,47.0,6403.6
805827,Cedar,AK 47,1,291.0,96.0,29.0,45.0,5681.4
805530,Karen,Jenny S.TrumpXA,1,291.0,67.0,28.5,48.0,6056.2
806390,NEEDLE,W.D.Bandaras ET,1,291.0,47.0,30.9,49.0,7191.6
806121,Yiran,L.Jet Bowser-ET,1,291.0,78.0,36.2,49.0,7405.9
806223,Dadic,AK 47,1,291.0,62.0,32.4,42.0,7023.2
806163,Ledo,AK 47,1,291.0,75.0,29.2,45.0,6271.7
805120,Rou-384,AK 47,1,291.0,61.0,29.2,43.0,6410.8
806521,Don'a,WessC Glover XA,1,291.0,150.0,40.5,41.0,7960.1
806936,Rihani,L.Jet Bowser-ET,1,291.0,63.0,33.7,52.0,7760.6
806468,Kama,AK 47,1,291.0,70.0,28.1,48.0,6373.0
805191,HALLO,AK 47,1,291.0,64.0,31.9,51.0,6945.0
804337,Tesu,C. Dv. Creeton,1,291.0,75.0,33.5,74.0,7428.0
806071,Anima,AK 47,1,291.0,71.0,31.3,48.0,6262.7
804910,Zal-Zal,L.Jet Bowser XA,1,291.0,111.0,29.9,50.0,6943.0
805214,Haley,AK 47,1,291.0,96.0,30.7,49.0,7232.7
804851,Chen,Coyne PlanetET,1,291.0,47.0,29.0,51.0,7064.9
805171,Peach,AK 47,1,291.0,75.0,33.1,42.0,7522.9
805766,RAHMA,Ziggy VS Whisky,1,291.0,150.0,32.9,42.0,6585.8
806381,Capri,L. Muscadet XA,1,291.0,77.0,31.1,46.0,7727.5
804796,Caya,Coyne PlanetET,1,291.0,79.0,29.4,56.0,6528.0
806828,Aning,WestCoast Pldge,1,291.0,60.0,38.5,50.0,9676.7
806415,TLG-587,W.D.Bandaras ET,1,291.0,77.0,34.0,58.0,7949.3
804800,Kerona,Coyne PlanetET,1,291.0,95.0,30.5,47.0,6655.6
805861,HOT-098,AK 47,1,291.0,67.0,33.5,51.0,5825.8
804747,Arni,C. Dv. Creeton,1,291.0,45.0,31.3,48.0,7306.0
805840,TIBO,AK 47,1,291.0,127.0,27.4,46.0,5415.0
803873,Acim,M.Z.Merlin ET,1,291.0,79.0,27.2,58.0,6699.0
804504,Kate,Bull Mix,1,291.0,49.0,37.5,55.0,8705.0
806424,JULIET,WessC Glover XA,1,291.0,49.0,31.6,43.0,8272.7
805460,Carme 2,AK 47,1,291.0,93.0,30.8,53.0,6721.3
804958,Juliet,Coyne PlanetET,1,291.0,117.0,29.6,43.0,7212.0
805564,Eet,MR MUDD -  XA,1,292.0,93.0,33.3,52.0,6664.6
806051,City,Horst MONTNEY,1,292.0,106.0,27.8,45.0,5618.0
805408,GGS-426,AK 47,1,292.0,67.0,25.6,44.0,5582.8
805489,Kerry,Jenny S.TrumpXA,1,292.0,79.0,26.5,49.0,5844.2
805523,Ballo,MR MUDD -  XA,1,292.0,70.0,27.7,46.0,6240.3
806052,Dilla,Horst MONTNEY,1,292.0,96.0,36.9,49.0,7621.7
804875,Kelly,L.Jet Bowser XA,1,292.0,66.0,33.9,48.0,7575.0
806651,MEMEY,WessC Glover XA,1,292.0,75.0,29.8,59.0,6608.3
804871,Niat,Jenny S.TrumpET,1,292.0,85.0,34.4,53.0,8418.4
804912,ROSA,Coyne PlanetET,1,292.0,32.0,33.8,49.0,7274.7
806004,GRIE-451,L.Jet Bowser-ET,1,292.0,108.0,44.7,47.0,6963.2
